year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay
2021,7,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",155,13,0,1,568,232,20,196,0
2021,7,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",93,11,0,0,643,269,198,168,0
2021,7,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",62,11,3,2,1285,235,226,822,0
2021,7,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",93,9,0,1,406,168,97,82,0
2021,7,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",176,12,0,1,822,393,176,58,0
2021,7,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",87,8,0,0,462,182,0,97,0
2021,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4526,500,1,14,43305,20787,4115,9646,0
2021,7,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",190,16,0,0,652,245,0,249,0
2021,7,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",78,7,0,1,249,201,0,30,0
2021,7,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",107,8,0,0,914,417,74,97,0
2021,7,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",29,4,0,0,291,157,0,0,0
2021,7,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31,2,0,0,332,329,0,3,0
2021,7,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",47,4,1,0,364,98,0,222,0
2021,7,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",80,13,1,0,568,122,0,131,0
2021,7,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",128,7,0,1,336,318,0,18,0
2021,7,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",87,16,0,0,1670,1129,64,113,0
2021,7,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",74,13,1,0,1091,386,52,126,0
2021,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",84,5,2,1,738,56,162,6,0
2021,7,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",93,12,0,0,541,198,36,119,0
2021,7,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",141,11,0,0,588,260,15,45,0
2021,7,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",155,24,2,1,1620,867,0,276,0
2021,7,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",132,12,2,0,1151,336,0,161,0
2021,7,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",62,8,1,0,481,183,0,275,0
2021,7,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",61,9,1,0,407,220,0,133,0
2021,7,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",193,22,0,0,1201,778,87,189,0
2021,7,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",87,6,0,0,283,55,25,0,0
2021,7,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",10,1,1,0,241,2,0,0,0
2021,7,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",243,18,0,0,1104,543,53,175,0
